"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C4, C7, C8","4","220pF","Capacitor_SMD:C_0805_2012Metric",""
"2","C2","1","100nF","Capacitor_SMD:C_0805_2012Metric",""
"3","C3","1","22uF","Capacitor_SMD:CP_Elec_8x10",""
"4","C5, C6","2","3.3nF","Capacitor_SMD:C_0805_2012Metric",""
"5","C9, C10, C11, C12","4","10pF","Capacitor_SMD:C_0805_2012Metric",""
"6","P1","1","Outside PIR","OpenCatFlap:PIR Header",""
"7","P2","1","IR Barrier Outside","OpenCatFlap:IR Barrier Header",""
"8","P3","1","IR Barrier Inside","OpenCatFlap:IR Barrier Header",""
"9","P4","1","Servo Outside","OpenCatFlap:Servo Header",""
"10","P5","1","Servo Inside","OpenCatFlap:Servo Header",""
"11","R1, R4, R5, R6","4","100R","Resistor_SMD:R_0805_2012Metric",""
"12","R2, R3","2","100k","Resistor_SMD:R_0805_2012Metric",""
"13","R7, R16","2","220","Resistor_SMD:R_0805_2012Metric",""
"14","R8, R13","2","47k","Resistor_SMD:R_0805_2012Metric",""
"15","R9, R12","2","150k","Resistor_SMD:R_0805_2012Metric",""
"16","R10, R11, R14, R15","4","4.7","Resistor_SMD:R_0805_2012Metric",""
"17","U1","1","DOIT-ESP32-DEVKIT-V1","OpenCatFlap:ESP32-DOIT-DEVKIT",""
"18","U2","1","AMN33111","OpenCatFlap:AMN33111_PAN",""
"19","U3","1","5V","OpenCatFlap:Power Header",""
"20","U4, U7","2","TMS3705DDRQ1","D16",""
"21","U5, U6","2","~","OpenCatFlap:Power Header",""
"22","Y1, Y2","2","Crystal 4MHz","Crystal:Crystal_HC49-4H_Vertical",""
